Country;cod;First case date;Let1;Let2;Let3;Let4;Let5;Let6;Let7;Let8;Let9;Days;p60years;Sex;Literacy;Doctors;Beds;GDP;Health;Obesity;Passengers;Test;Quarantine;HIV/AIDS;Respiratory.infectious;Diabetes;Cardiovascular;Respiratory.diseases;Tobacco;Poverty;Urbanpop;Density;Nurse;Height
Qatar;QAT;31/12/2019;0,007185629;0,003167421;0,002694691;0,001400364;0,00095511;0,00077899;0,000602886;0,000808691;0,000919362;160;;;93;2,7831;1,2;191,3620879;0,0251;0,867;29178923;94,392;113;0,097995779;5,752254969;25,35365622;38,04565848;7,397969005;13,9;;99,135;248,6668;6,6028;103
United Kingdom;GBR;31/12/2019;0,285250293;0,243045841;0,212207111;0,19434335;0,181145271;0,164381125;0,154927809;0,150397205;0,148206195;160;0,47766425;0,49364725;99;2,7959;2,8;2855,296732;0,0753;0,596;165388610;0,04788;76;16,59495221;555,6288784;312,4195538;2827,101913;1106,791918;22,4;0,2;83,398;279,4813;8,2878;1344
Central African Republic;CAF;16/03/2020;0;0;0;0;0;0;0;0,002392344;0,005698006;84;0,08945455;0,49563537;37,39582;0,0629;1;2,219894702;0,0064;0,086;46364;;37;402,794021;392,3043513;28,87393489;197,6299875;52,08178946;;66,3;41,364;7,7526;0,2039;1420
Czech Republic;CZE;31/12/2019;0,028221209;0,03125;0,033462033;0,031828379;0,034569204;0,036368197;0,036763817;0,036349043;0,035769315;160;0,51381505;0,49191411;;4,314;6,5;245,2258829;0,0621;0,582;5727200;0,04403;113;1,050241439;69,90101523;126,1691669;854,6053849;118,515386;34,4;0;73,792;135,7888;8,4071;1602
Dominican Republic;DOM;31/12/2019;0,08411215;0,089531028;0,071942446;0,055283019;0,054419723;0,046440332;0,039835656;0,035171032;0,032818164;160;0,20969812;0,49992199;94;1,56;1,6;85,55539039;0,0282;0,46;11903;8,718;72;125,4630861;125,4870203;100,0008825;568,9552398;76,27375354;13,8;1,6;81,074;222,8824;0,3099;3098
Rwanda;RWA;15/03/2020;0;0;0;0;0;0;0;0;0,005780347;85;0,09647829;0,49138939;;0,135;;;0,0229;0,064;1073528;6,053;;203,481846;326,4605084;59,22642605;261,1012051;96,24397186;12,9;55,5;17,211;491,7692;0,8307;4519
Romania;ROU;31/12/2019;0,089430894;0,078134846;0,072616408;0,071369722;0,072132242;0,073438718;0,07167854;0,070569966;0,069699903;160;0,50497287;0,48656257;98,8445;2,2586;6,3;239,5525167;0,0389;0,467;4908235;26,568;78;12,92905921;214,4775023;118,1293563;2601,354718;250,1809376;30;5,7;53,998;80,6981;6,0979;2544
Russia;RUS;31/12/2019;0,022686352;0,022832103;0,020947325;0,01675891;0,015462932;0,013331003;0,012267254;0,012853695;0,014049854;160;0,42299602;0,46338237;99,73006;4,0139;8,2;1657,554647;0,03;0,517;99327311;90,828;83;1817,482416;1445,021217;769,5465173;20681,89723;1102,81607;40,9;0;74,433;8,5351;8,6212;5642
San Marino;SMR;31/12/2019;0,144067797;0,129032258;0,107526882;0,084016393;0,072824156;0,067434211;0,063763608;0,06402439;0,062968516;160;;;99,91643;6,147;3,8;;;;;149,173;113;36,95564202;74,80441046;86,40340616;223,7694904;44,1966795;;;97,226;556,2459;8,7768;755
Saint martin;MAF;3/03/2020;;;;;;;;;;97;;;;;;;;;;15,898;50;5,234177862;13,71329847;19,14909371;286,5068876;14,75787941;;;0;729,5472;0;
Senegal;SEN;3/03/2020;0,010526316;0,008196721;0,01910828;0,020361991;0,013605442;0,014654571;0,014251781;0,014001474;0,013833385;97;0,09538205;0,4872267;52;0,0692;0,3;24,12959955;0,0191;0,165;21038;3,245;50;115,5588118;544,4274761;77,01782784;433,1423672;108,5468767;8,5;38;47,192;85,1147;0,3129;581
